Year,District Name,District_Code.x,In_District_Expenditures,Total_In_District_FTEs,In_District_Expenditures_Per_Pupil,Total_Expenditures,Total_Pupil_FTEs,Total_Expenditures_Per_Pupil,District_Code.y,Cohort_Size,Percent_Graduated,Percent_Still_in_School,Percent_Non_Grad_Completers,Percent_HS_Equiv,Percent_Dropped_Out,Percent_Excluded,Percent_American_Indian,Percent_Asian,Percent_Black,Percent_Hispanic,Percent_Multi_Race,Percent_Pacific_Islander,Percent_White,Percent_Female,Percent_Male,SAT_Tests_Taken,SAT_Reading_Writing_Mean_Score,SAT_Math_Mean_Score,Student_Teacher_Ratio,Low_Income_Percent
2020,duxbury,00820000,"$47,335,618.65","2,969.9","$15,938.46","$50,530,581.65","3,032.5","$16,663.01",820000,247,99.2,0.8,0,0,0,0,0.1,1.4,0.2,1.9,2.6,0,93.8,48.5,51.5,229,586,578,11.9,8.7
2021,duxbury,00820000,"$49,039,791.21","2,786.9","$17,596.54","$51,499,159.21","2,844.7","$18,103.55",820000,237,97.5,2.5,0,0,0,0,0.1,1.3,0.3,2,2.7,0,93.7,48.8,51.2,344,592,572,11.9,8.7
2022,duxbury,00820000,"$50,327,864.49","2,801.8","$17,962.69","$53,182,261.49","2,855.2","$18,626.46",820000,221,97.7,1.4,0.5,0,0.5,0,0.1,1.4,0.3,2.3,3,0,93,49.7,50.3,221,597,580,11.9,8.7
2023,duxbury,00820000,"$53,801,304.24","2,789.1","$19,289.84","$56,464,737.76","2,840.8","$19,876.35",820000,224,98.2,1.8,0,0,0,0,0.1,1.3,0.3,2.3,3.3,0,92.7,49.4,50.6,243,597,577,11.9,8.7
2008,east bridgewater,00830000,"$21,049,984.00","2,487.7","$8,461.62","$23,087,378.00","2,550.7","$9,051.39",830000,170,93.5,1.8,0,0,4.7,0,0,0.4,1.8,0.5,NA,NA,97.3,49.4,50.6,149,505.5,515,12,27.9
2009,east bridgewater,00830000,"$23,892,459.01","2,412.9","$9,902.09","$26,334,653.47","2,488.8","$10,581.39",830000,150,90,1.3,0,0.7,8,0,0.1,0.5,1.4,0.6,NA,NA,97.4,49.8,50.2,110,477.5,492,12,27.9
2010,east bridgewater,00830000,"$22,031,056.72","2,381.5","$9,250.92","$24,567,127.49","2,459.4","$9,989.07",830000,141,97.2,0,0,0.7,2.1,0,0,0.6,1.6,1.9,2.4,0,93.5,50.1,49.9,97,502,511,12,27.9
2011,east bridgewater,00830000,"$22,271,650.44","2,303.0","$9,670.71","$25,074,972.56","2,389.1","$10,495.57",830000,129,93.8,0,0,1.6,4.7,0,0.1,0.5,1.5,1.6,1.8,0,94.4,50.2,49.8,107,498.5,509,12,27.9
2012,east bridgewater,00830000,"$21,712,512.89","2,278.3","$9,530.14","$24,468,116.98","2,356.9","$10,381.48",830000,112,92.9,2.7,0,0.9,3.6,0,0.1,0.6,1.6,1.8,1.4,0,94.5,50.6,49.4,87,493.5,511,12,27.9
2013,east bridgewater,00830000,"$21,335,580.53","2,253.2","$9,469.01","$24,118,755.27","2,322.6","$10,384.38",830000,117,91.5,4.3,0,0.9,3.4,0,0.2,0.6,1.4,1.4,1.4,0,94.9,51.3,48.7,101,486.5,495,12,27.9
2014,east bridgewater,00830000,"$21,416,853.00","2,290.1","$9,351.93","$24,422,782.00","2,365.9","$10,322.83",830000,139,97.1,1.4,0,0,1.4,0,0.2,0.7,1.2,1.2,1.1,0.2,95.4,50.9,49.1,123,0,494,12,27.9
2015,east bridgewater,00830000,"$21,557,015.00","2,280.8","$9,451.51","$24,527,295.00","2,358.4","$10,399.97",830000,133,96.2,1.5,0,0.8,1.5,0,0.1,0.6,1.1,1.3,1.4,0.2,95.4,50.4,49.6,116,0,515,12,27.9
2016,east bridgewater,00830000,"$22,834,892.00","2,290.1","$9,971.13","$25,850,579.00","2,356.3","$10,970.84",830000,124,96.8,0,0.8,0,2.4,0,0,0.5,1.2,1.3,1.5,0.2,95.2,50.7,49.3,111,0,500,12,27.9
2017,east bridgewater,00830000,"$25,098,627.00","2,317.0","$10,832.38","$27,686,517.00","2,387.0","$11,598.88",830000,172,97.1,1.2,0,0,1.7,0,0.1,0.5,1.6,1.3,1.8,0.2,94.5,50.8,49.2,178,542,520,12,27.9
2018,east bridgewater,00830000,"$27,479,090.11","2,290.1","$11,999.08","$30,246,793.73","2,369.1","$12,767.21",830000,157,94.3,3.2,0,0,2.5,0,0.1,0.4,1.9,1.2,1.9,0.2,94.3,50.2,49.8,134,535,510,12,27.9
2019,east bridgewater,00830000,"$27,911,962.00","2,251.7","$12,395.95","$30,599,305.00","2,333.2","$13,114.74",830000,129,92.2,3.1,0.8,0,3.9,0,0.3,0.5,2.2,1.2,2.3,0.2,93.3,50.1,49.9,159,539,517,12,27.9
2020,east bridgewater,00830000,"$28,260,456.00","2,216.0","$12,752.91","$31,033,614.00","2,309.3","$13,438.54",830000,152,99.3,0.7,0,0,0,0,0.3,0.7,2.2,1.3,2.4,0.2,92.9,49.6,50.4,87,534,512,12,27.9
2021,east bridgewater,00830000,"$30,471,933.55","2,077.3","$14,669.01","$32,893,871.55","2,170.4","$15,155.67",830000,137,98.5,1.5,0,0,0,0,0.3,0.5,2.7,1.9,2.9,0.1,91.5,48.9,51,75,556,521,12,27.9
2022,east bridgewater,00830000,"$31,014,714.10","2,107.2","$14,718.45","$33,756,919.10","2,206.5","$15,298.85",830000,150,96,1.3,0,0,2.7,0,0.4,0.7,3,2.2,2.9,0.1,90.8,49.5,50.5,89,554,529,12,27.9
2023,east bridgewater,00830000,"$33,379,798.00","2,050.9","$16,275.68","$36,179,329.74","2,148.4","$16,840.13",830000,152,97.4,1.3,0,0,1.3,0,0.4,0.8,2.8,2.1,2.7,0,91.2,49.2,50.8,67,550,516,12,27.9
2008,east longmeadow,00870000,"$26,453,432.98","2,858.9","$9,253.01","$30,050,744.14","2,959.0","$10,155.71",870000,217,95.4,2.8,0,0.5,1.4,0,0.1,1.2,2.7,0.9,NA,NA,95.2,49.3,50.7,176,484.5,504,12.5,26.6
2009,east longmeadow,00870000,"$28,254,524.59","2,846.9","$9,924.70","$32,254,130.90","2,948.7","$10,938.46",870000,221,94.1,1.8,0,1.8,2.3,0,0.1,1.4,2.5,1,NA,NA,94.9,50,50,160,503,520,12.5,26.6
2010,east longmeadow,00870000,"$28,913,757.60","2,847.1","$10,155.51","$33,045,944.43","2,953.5","$11,188.74",870000,225,96.4,0.9,0.9,0.9,0.9,0,0,2.2,2.7,1.2,0,0,93.8,50.2,49.8,178,514.5,531,12.5,26.6
2011,east longmeadow,00870000,"$31,143,340.00","2,843.5","$10,952.47","$34,464,073.40","2,927.7","$11,771.72",870000,235,95.7,3.4,0,0.4,0.4,0,0,2.4,2.8,1.3,0.1,0,93.4,50,50,201,498,537,12.5,26.6
2012,east longmeadow,00870000,"$31,404,209.29","2,789.5","$11,258.01","$35,028,654.32","2,882.2","$12,153.44",870000,212,95.3,1.4,0.5,1.4,1.4,0,0.1,2.7,2.8,1.5,0.1,0,92.7,50.7,49.3,178,495,521,12.5,26.6
2013,east longmeadow,00870000,"$32,377,226.22","2,724.2","$11,885.04","$36,024,435.14","2,814.9","$12,797.77",870000,210,95.2,2.9,0,1,1,0,0.1,3.3,3.1,1.8,0.2,0.1,91.5,50.7,49.3,190,493,511,12.5,26.6
2014,east longmeadow,00870000,"$33,426,820.33","2,692.7","$12,413.87","$36,980,020.92","2,776.5","$13,318.93",870000,202,96,2,1,0,1,0,0.1,3.6,3.1,1.9,0.2,0.1,91,50.6,49.4,171,0,518,12.5,26.6
2015,east longmeadow,00870000,"$34,043,332.00","2,670.7","$12,746.97","$37,248,544.00","2,748.0","$13,554.78",870000,204,95.6,0.5,2.9,0,1,0,0.1,4,3.2,2.4,0.2,0.1,90.1,49.9,50.1,165,0,536,12.5,26.6
2016,east longmeadow,00870000,"$36,196,566.00","2,638.6","$13,718.10","$39,036,048.00","2,718.5","$14,359.41",870000,216,97.7,1.9,0.5,0,0,0,0.1,3.8,3.1,3.1,0.5,0.1,89.2,49.8,50.2,169,0,540,12.5,26.6
2017,east longmeadow,00870000,"$37,426,565.00","2,633.4","$14,212.26","$40,503,739.00","2,716.9","$14,908.07",870000,209,96.2,1,0,0.5,2.4,0,0.1,3.7,3.3,3.8,0.9,0.1,88.1,50.1,49.9,249,560,552,12.5,26.6
2018,east longmeadow,00870000,"$38,308,309.98","2,670.8","$14,343.38","$42,304,355.02","2,762.9","$15,311.58",870000,203,99.5,0.5,0,0,0,0,0.1,3.9,3.3,4.1,1.1,0.1,87.4,49.6,50.4,219,556,561,12.5,26.6
2019,east longmeadow,00870000,"$39,964,265.31","2,637.8","$15,150.60","$43,866,375.31","2,727.8","$16,081.23",870000,203,98.5,1.5,0,0,0,0,0.1,4.7,2.8,4.6,1.1,0.1,86.7,49.7,50.3,212,559,564,12.5,26.6
2020,east longmeadow,00870000,"$40,563,614.50","2,595.1","$15,630.85","$44,383,945.50","2,686.4","$16,521.72",870000,209,97.6,1,0,0,1.4,0,0.2,5,2.5,5.1,1.6,0.1,85.6,49.9,50.1,87,561,560,12.5,26.6
2021,east longmeadow,00870000,"$41,403,591.37","2,415.1","$17,143.63","$44,895,747.37","2,493.6","$18,004.39",870000,165,97.6,2.4,0,0,0,0,0.1,5.4,2.5,5.9,1.7,0.1,84.4,49.1,50.9,115,569,572,12.5,26.6
2022,east longmeadow,00870000,"$42,281,822.37","2,511.1","$16,837.97","$46,472,108.07","2,605.5","$17,836.16",870000,200,97.5,2.5,0,0,0,0,0.2,5.4,2.9,7.1,2.4,0.1,81.9,48.4,51.6,140,582,573,12.5,26.6
2023,east longmeadow,00870000,"$46,216,297.00","2,556.0","$18,081.49","$50,593,936.47","2,635.1","$19,200.01",870000,211,95.7,2.8,0,0.5,0.9,0,0.2,5.3,3.5,8.6,2.8,0.1,79.5,48.4,51.6,111,576,563,12.5,26.6
2008,eastham,00850000,"$3,747,125.00",233.8,"$16,027.05","$3,992,549.00",254.5,"$15,687.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,eastham,00850000,"$4,027,566.00",220.4,"$18,277.21","$4,243,141.00",235.1,"$18,051.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,eastham,00850000,"$4,350,017.00",222.1,"$19,585.85","$4,547,527.00",238.5,"$19,067.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,eastham,00850000,"$4,316,044.00",215.6,"$20,018.76","$4,565,410.00",236.4,"$19,312.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,eastham,00850000,"$4,137,933.00",206.6,"$20,028.72","$4,424,888.00",226.7,"$19,518.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,eastham,00850000,"$4,246,648.00",206.2,"$20,594.80","$4,503,422.00",221.2,"$20,359.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,eastham,00850000,"$4,666,714.00",204.6,"$22,808.96","$4,910,815.00",218.3,"$22,495.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,eastham,00850000,"$4,850,559.00",174.8,"$27,749.19","$5,111,078.00",189.4,"$26,985.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,eastham,00850000,"$4,725,487.00",169.7,"$27,846.12","$4,786,817.00",184.1,"$26,001.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,eastham,00850000,"$4,700,466.00",181.6,"$25,883.62","$4,813,993.00",200.7,"$23,986.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,eastham,00850000,"$4,672,117.00",176.9,"$26,411.06","$4,752,005.00",191.4,"$24,827.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,eastham,00850000,"$4,699,643.00",170.1,"$27,628.71","$4,784,261.00",188.4,"$25,394.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,eastham,00850000,"$4,702,341.00",198.4,"$23,701.32","$4,890,365.00",218.3,"$22,402.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,eastham,00850000,"$5,044,169.00",189.4,"$26,632.36","$5,231,312.00",205.6,"$25,444.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,eastham,00850000,"$5,073,977.00",190.3,"$26,663.04","$5,215,995.00",210.3,"$24,802.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,eastham,00850000,"$5,354,850.35",192.6,"$27,802.96","$5,562,334.79",213.3,"$26,077.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,easthampton,00860000,"$18,194,488.85","1,737.7","$10,470.44","$21,679,078.90","2,047.8","$10,586.52",860000,124,89.5,4.8,0,1.6,4,0,0.2,4,1.4,3.3,NA,NA,91,49.1,50.9,74,479,502,11.9,40.3
2009,easthampton,00860000,"$18,342,092.80","1,655.1","$11,081.97","$22,448,992.20","1,967.1","$11,412.05",860000,118,84.7,5.9,1.7,2.5,5.1,0,0.3,4,1.8,3.9,NA,NA,90,49.6,50.4,71,479.5,485,11.9,40.3
2010,easthampton,00860000,"$17,698,841.51","1,577.5","$11,219.55","$21,735,621.51","1,914.3","$11,354.34",860000,112,85.7,6.3,0,0.9,7.1,0,0,3.8,1.3,4.8,1,0,89.1,48.8,51.2,59,498,519,11.9,40.3
2011,easthampton,00860000,"$19,692,288.00","1,584.0","$12,432.00","$23,202,409.00","1,893.6","$12,253.07",860000,109,78.9,9.2,1.8,5.5,4.6,0,0,4,1.2,5.5,1.1,0.1,88.1,49.4,50.6,51,488.5,516,11.9,40.3
2012,easthampton,00860000,"$17,806,276.79","1,597.2","$11,148.43","$21,775,833.00","1,913.2","$11,381.89",860000,98,89.8,1,0,2,7.1,0,0,3.8,1.8,6.8,1.1,0.1,86.4,49.5,50.5,56,499,520,11.9,40.3
2013,easthampton,00860000,"$18,194,916.95","1,601.0","$11,364.72","$22,702,167.95","1,920.5","$11,820.97",860000,99,91.9,4,1,1,2,0,0,3.6,2.1,6.9,1,0.1,86.3,49.4,50.6,60,477.5,500,11.9,40.3
2014,easthampton,00860000,"$18,154,240.00","1,563.9","$11,608.31","$22,690,759.98","1,873.7","$12,110.14",860000,107,89.7,4.7,0.9,2.8,1.9,0,0,3.6,2.2,6.8,1.2,0.1,86.1,49.8,50.2,73,0,494,11.9,40.3
2015,easthampton,00860000,"$18,612,256.00","1,529.1","$12,172.03","$24,120,881.00","1,867.5","$12,916.13",860000,108,95.4,2.8,0,0.9,0.9,0,0,3.8,2.2,7.5,1.3,0.2,85.1,49.8,50.2,71,0,524,11.9,40.3
2016,easthampton,00860000,"$19,023,792.00","1,534.7","$12,395.77","$24,595,522.00","1,880.0","$13,082.72",860000,99,92.9,3,0,1,3,0,0.1,4.5,1.9,7.5,0.3,0,85.7,50.4,49.6,65,0,500,11.9,40.3
2017,easthampton,00860000,"$19,079,233.00","1,553.6","$12,280.66","$24,573,923.00","1,889.6","$13,004.83",860000,100,94,1,0,2,3,0,0,4.3,1.8,7.8,0.4,0,85.8,52.2,47.8,52,570,557,11.9,40.3
2018,easthampton,00860000,"$22,347,240.80","1,557.0","$14,352.76","$27,570,761.31","1,870.3","$14,741.36",860000,100,87,2,2,3,6,0,0,4.2,1.7,7.8,0.7,0,85.7,50.9,49.1,80,571,554,11.9,40.3
2019,easthampton,00860000,"$21,330,631.78","1,566.1","$13,620.22","$27,047,635.99","1,899.5","$14,239.35",860000,116,89.7,1.7,0,0.9,7.8,0,0.1,3.9,1.7,8.6,1.4,0,84.3,50.7,49.3,89,536,514,11.9,40.3
2020,easthampton,00860000,"$21,591,067.42","1,542.5","$13,997.45","$27,479,011.28","1,868.7","$14,704.88",860000,112,95.5,1.8,0.9,0,1.8,0,0.1,3.7,1.7,9.7,1.8,0,83,49.7,50.3,46,552,528,11.9,40.3
2021,easthampton,00860000,"$22,075,588.15","1,428.1","$15,458.01","$27,563,959.48","1,757.6","$15,682.73",860000,105,88.6,3.8,0,2.9,4.8,0,0.3,3.8,1.7,11.4,2.2,0.1,80.6,49,51,33,534,504,11.9,40.3
2022,easthampton,00860000,"$24,133,979.01","1,421.7","$16,975.44","$30,355,439.27","1,752.6","$17,320.23",860000,106,90.6,5.7,0,0,3.8,0,0.3,3.8,1.4,12.2,2.7,0.1,79.6,49,51,44,559,536,11.9,40.3
2023,easthampton,00860000,"$24,076,653.32","1,415.9","$17,004.49","$30,095,166.53","1,722.0","$17,476.87",860000,88,92,1.1,0,0,6.8,0,0.3,3.6,1.1,13.1,3,0.1,78.8,49.2,50.7,32,576,532,11.9,40.3
2008,easton,00880000,"$35,775,329.30","3,901.1","$9,170.57","$38,191,659.30","3,974.9","$9,608.21",880000,232,96.6,0.4,0,0.4,2.6,0,0.1,2.5,2.7,1.7,NA,NA,92.9,48.4,51.6,215,534,544,12.8,20.8
2009,easton,00880000,"$38,073,878.87","3,952.4","$9,633.10","$40,688,869.87","4,024.2","$10,111.05",880000,261,99.2,0,0,0,0.8,0,0.2,2.7,3.1,1.9,NA,NA,92.2,48.8,51.2,200,526,544,12.8,20.8
2010,easton,00880000,"$38,518,382.67","3,932.6","$9,794.64","$40,810,934.07","4,000.5","$10,201.46",880000,265,95.8,1.5,0,0.8,1.9,0,0.2,1.2,2.1,1.9,1.4,0.4,92.7,49.2,50.8,238,522.5,532,12.8,20.8
2011,easton,00880000,"$40,150,834.88","3,858.0","$10,407.16","$42,840,220.88","3,922.3","$10,922.22",880000,264,95.8,0.8,0,1.1,2.3,0,0.1,1.9,3.3,2.8,2.1,0.6,89.3,49.4,50.6,253,534.5,544,12.8,20.8
2012,easton,00880000,"$40,936,205.42","3,873.0","$10,569.64","$43,776,579.52","3,932.2","$11,132.85",880000,283,94.7,1.4,0,0.7,3.2,0,0.1,2.3,3.9,2.9,2.2,0.7,88,49,51,268,530,541,12.8,20.8
2013,easton,00880000,"$41,473,813.18","3,852.7","$10,764.87","$45,002,815.10","3,921.5","$11,475.92",880000,284,96.5,1.1,0,0,2.5,0,0.1,2.9,4.5,3.1,2.3,0.4,86.6,49.6,50.4,268,523.5,527,12.8,20.8
2014,easton,00880000,"$43,026,795.98","3,820.5","$11,262.09","$46,541,936.00","3,890.8","$11,962.05",880000,292,96.6,2.4,0,0.7,0.3,0,0.2,2.9,4.6,3,2.4,0.4,86.5,49.9,50.1,264,0,547,12.8,20.8
2015,easton,00880000,"$44,843,576.00","3,760.7","$11,924.26","$48,800,124.00","3,833.3","$12,730.58",880000,268,98.5,0.7,0,0.4,0.4,0,0.2,3,4.8,3.3,2.4,0.4,85.9,49.5,50.5,256,0,535,12.8,20.8
2016,easton,00880000,"$45,456,931.00","3,705.3","$12,268.08","$49,469,946.00","3,778.3","$13,093.18",880000,258,96.9,2.3,0,0.4,0.4,0,0.2,3.2,4.8,3.4,2.6,0.1,85.8,49.7,50.3,250,0,550,12.8,20.8
2017,easton,00880000,"$47,416,845.00","3,737.7","$12,686.10","$51,160,582.00","3,808.5","$13,433.26",880000,279,98.9,1.1,0,0,0,0,0.2,3.2,4.4,3.5,2.7,0.1,85.9,49.6,50.4,439,573,568,12.8,20.8
2018,easton,00880000,"$49,188,987.20","3,704.1","$13,279.61","$53,352,585.35","3,794.6","$14,060.13",880000,302,97.7,2.3,0,0,0,0,0.2,3,4.7,3.7,2.6,0.1,85.8,49.5,50.5,381,569,569,12.8,20.8
2019,easton,00880000,"$49,710,810.10","3,621.5","$13,726.58","$54,556,305.09","3,723.6","$14,651.49",880000,282,97.5,2.1,0,0,0.4,0,0.2,3,4.7,3.5,2.7,0.1,85.8,50.2,49.8,348,572,572,12.8,20.8
2020,easton,00880000,"$49,938,548.62","3,594.9","$13,891.50","$54,571,050.59","3,687.7","$14,798.13",880000,257,94.9,4.7,0,0,0.4,0,0.2,3,4.7,3.7,2.7,0.1,85.6,50.4,49.6,150,562,552,12.8,20.8
2021,easton,00880000,"$51,800,092.00","3,399.4","$15,238.01","$55,847,780.75","3,480.1","$16,047.75",880000,255,98.4,0.8,0,0,0.8,0,0.2,3.3,4.9,4.1,2.9,0.1,84.6,50.1,49.9,340,577,567,12.8,20.8
2022,easton,00880000,"$53,870,339.68","3,445.1","$15,636.80","$58,694,405.08","3,528.3","$16,635.32",880000,267,97.8,1.9,0,0,0.4,0,0.3,3.1,5.7,4.7,3,0.1,83.1,50.1,49.9,280,568,566,12.8,20.8
2023,easton,00880000,"$56,054,982.16","3,412.8","$16,424.92","$60,289,596.21","3,500.6","$17,222.65",880000,258,97.3,2.3,0,0,0.4,0,0.4,3.2,6.2,5.5,3.1,0.1,81.6,49.8,50.2,221,580,566,12.8,20.8
2008,edgartown,00890000,"$6,819,819.00",338.4,"$20,153.13","$7,641,211.00",400.8,"$19,064.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,edgartown,00890000,"$7,236,537.00",355.2,"$20,375.43","$8,074,319.00",423.2,"$19,081.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,edgartown,00890000,"$7,486,623.00",328.3,"$22,804.21","$8,399,342.00",403.4,"$20,821.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,edgartown,00890000,"$7,675,381.00",335.2,"$22,897.91","$8,773,443.00",415.9,"$21,095.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,edgartown,00890000,"$7,795,093.00",340.8,"$22,872.93","$8,816,568.00",422.1,"$20,887.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,edgartown,00890000,"$8,273,503.00",347.1,"$23,836.08","$9,128,550.00",414.0,"$22,049.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,edgartown,00890000,"$8,730,378.50",357.8,"$24,400.16","$9,624,365.50",424.7,"$22,661.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,edgartown,00890000,"$9,138,180.00",353.4,"$25,857.89","$10,027,905.00",415.7,"$24,122.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,edgartown,00890000,"$9,522,090.00",358.4,"$26,568.33","$10,581,571.00",428.3,"$24,705.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,edgartown,00890000,"$9,822,920.00",357.8,"$27,453.66","$11,072,670.00",435.0,"$25,454.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,edgartown,00890000,"$10,468,247.64",351.9,"$29,747.79","$11,737,056.87",437.6,"$26,821.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,edgartown,00890000,"$10,922,480.82",382.8,"$28,533.13","$12,191,012.82",460.0,"$26,502.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,edgartown,00890000,"$10,850,729.12",403.4,"$26,898.19","$11,893,467.12",461.9,"$25,749.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,edgartown,00890000,"$10,873,419.70",387.4,"$28,067.68","$12,178,374.35",439.6,"$27,703.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,edgartown,00890000,"$11,402,245.09",416.3,"$27,389.49","$12,304,029.09",458.6,"$26,829.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,edgartown,00890000,"$12,261,518.20",418.5,"$29,298.73","$13,169,946.00",459.6,"$28,655.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,erving,00910000,"$2,685,132.00",170.9,"$15,711.71","$3,889,056.00",283.9,"$13,698.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,erving,00910000,"$2,826,915.00",177.5,"$15,927.18","$4,026,877.00",297.3,"$13,545.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,erving,00910000,"$3,004,818.00",164.6,"$18,255.27","$4,259,078.00",290.9,"$14,641.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,erving,00910000,"$3,014,794.00",153.8,"$19,602.04","$4,467,606.45",284.0,"$15,731.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,erving,00910000,"$2,975,718.00",150.0,"$19,838.12","$4,388,288.01",270.6,"$16,216.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,erving,00910000,"$3,261,680.00",149.9,"$21,759.04","$4,738,025.01",275.5,"$17,197.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,erving,00910000,"$3,422,118.00",146.6,"$23,343.23","$4,845,611.00",261.8,"$18,508.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,erving,00910000,"$3,456,087.00",139.6,"$24,757.07","$5,013,164.00",259.9,"$19,288.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,erving,00910000,"$3,590,653.00",130.0,"$27,620.41","$5,146,916.00",239.4,"$21,499.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
