...1,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math,Student / Teacher Ratio,Low Income %.y
593,2022,weymouth,3360000,422,92.2,3.8,0,0.5,3.6,0,3360000,0.2,5.9,6.2,8.8,3.7,0.1,75,48.7,51.3,251,549,535,12.3,40.5
594,2022,whitman-hanson,7800000,274,91.6,6.9,0,0,1.5,0,7800000,0.4,1.1,2.2,4.3,2.6,0.1,89.3,48.4,51.6,187,544,524,13.7,30.5
595,2022,whittier regional vocational technical,8850000,274,98.2,0,0,0,1.8,0,8850000,0.2,1,1.4,18.9,3.1,0,75.3,45.5,54.5,60,530,525,10.3,38.3
596,2022,wilmington,3420000,194,94.8,2.1,0,0.5,2.6,0,3420000,0.1,4.8,1.8,4.1,3.1,0.1,86,49.1,50.9,163,578,568,10.5,14.8
597,2022,winchendon,3430000,56,78.6,10.7,0,0,10.7,0,3430000,0.2,2.6,1.5,6.5,3.9,0.1,85.2,46.6,53.4,84,475,459,13.4,56.8
598,2022,winchester,3440000,323,93.8,5.6,0,0,0.6,0,3440000,0.2,17.1,1.1,3.4,5,0,73.1,49.3,50.7,391,638,651,12.6,7.2
599,2022,winthrop,3460000,122,91.8,1.6,0,0,6.6,0,3460000,0.2,1,1.2,15.2,2,0,80.3,48.5,51.5,55,554,555,12.5,37.2
600,2022,woburn,3470000,289,94.8,2.4,0,0,2.8,0,3470000,0.5,7.2,7.2,9.7,2.8,0.1,72.5,50.6,49.4,178,541,530,11.5,40.9
601,2022,worcester,3480000,1565,90.4,4.3,0.4,0.3,4.6,0,3480000,0.2,7.1,15.9,42.6,4.2,0,30.2,48.5,51.5,"1,375",453,443,11.9,71.4
603,2021,abington,10000,137,94.9,1.5,0,0,3.6,0,10000,0.2,1.8,2.3,6.9,0.4,0.1,88.3,49.8,50.2,64,565,534,13.4,32.5
605,2021,acton-boxborough,6000000,406,98,1.5,0,0,0.5,0,6000000,0.3,31.2,1.9,4.2,4.1,0,58.3,48.3,51.7,487,651,682,12.9,11.5
607,2021,agawam,50000,266,93.6,2.3,0,0,4.1,0,50000,0,2.8,2,7.1,2.5,0.1,85.6,48.2,51.8,64,578,564,12.6,43.1
608,2021,amesbury,70000,142,93,2.1,0,0.7,4.2,0,70000,0.3,1.2,2,6.3,3.3,0.1,86.9,47.3,52.7,45,596,570,10.7,33.4
609,2021,amherst-pelham,6050000,205,94.6,3.4,0,1,1,0,6050000,0.1,9,7,15,8.9,0.1,59.9,49.3,50.7,41,656,669,11.1,29
610,2021,andover,90000,426,98.1,1.6,0,0.2,0,0,90000,0.2,17.2,1.9,5.2,2.6,0,72.9,49.8,50.2,456,607,611,11.6,12.2
612,2021,arlington,100000,313,96.5,3.2,0,0,0.3,0,100000,0.1,12.5,3.7,6,4.3,0.2,73.3,49.9,50.1,372,623,617,12.2,10.6
613,2021,ashburnham-westminster,6100000,159,97.5,0.6,0,0,1.9,0,6100000,0,0.6,0.6,4.2,1.5,0,93,49.1,50.9,60,599,600,13.6,24.5
614,2021,ashland,140000,192,98.4,0.5,0,0,1,0,140000,0.5,12.3,2,9.8,3,0,72.3,50.4,49.6,174,602,635,13.1,21.8
615,2021,assabet valley regional vocational technical,8010000,253,98.8,0,0,0,1.2,0,8010000,0.5,0.7,0.9,14.6,2.3,0,81.1,42.4,57.6,59,519,502,9.9,43
616,2021,athol-royalston,6150000,77,74,3.9,14.3,0,7.8,0,6150000,0.1,0.8,1.6,8,2.5,0.1,87,48.2,51.8,2,nil,nil,12.8,64.1
618,2021,attleboro,160000,407,92.6,3.7,0,0.2,3.4,0,160000,0.2,4.8,4.9,14.3,6,0.1,69.7,46.8,53.2,262,560,554,14.9,40.5
619,2021,auburn,170000,160,91.9,6.3,0,0,1.9,0,170000,0.3,3.9,1.9,7.1,3.1,0,83.7,50.1,49.9,44,558,566,13.4,27.6
620,2021,avon,180000,26,84.6,7.7,0,0,7.7,0,180000,1,4.6,29.6,5.9,4.8,0,54.2,49.4,50.4,6,nil,nil,9.7,45.9
621,2021,ayer shirley school district,6160000,79,94.9,3.8,0,1.3,0,0,6160000,0.3,2.8,4.4,10.7,4.9,0.4,76.4,48.8,51.2,24,578,535,12.1,31.7
622,2021,barnstable,200000,316,87,7.6,0.3,0.3,4.7,0,200000,0.5,2.2,7.6,11.4,4.3,0.2,73.7,49.3,50.7,82,555,553,11.2,53.3
624,2021,bedford,230000,156,95.5,3.2,0,0,1.3,0,230000,0,14.4,6.3,5.8,4.9,0.2,68.4,49,51,249,611,626,11.2,13.3
625,2021,belchertown,240000,163,97.5,2.5,0,0,0,0,240000,0.2,1.8,2.1,3.9,2.3,0.2,89.5,49.4,50.6,64,580,584,12.3,24.5
626,2021,bellingham,250000,143,95.1,2.8,0.7,0.7,0.7,0,250000,0.2,3,1.7,3.9,1.6,0.7,89,48.4,51.5,63,565,555,12.9,31.6
627,2021,belmont,260000,306,98.7,1.3,0,0,0,0,260000,0.1,18.1,3.5,4.2,6.6,0.1,67.4,49.9,50.1,396,650,673,15,11.9
629,2021,berkshire hills,6180000,112,92,1.8,0,0,6.3,0,6180000,0.2,2.6,1.9,7.2,3.9,0.2,84.1,48.8,51.2,107,583,546,10,43.4
630,2021,berlin-boylston,6200000,75,100,0,0,0,0,0,6200000,0,3.1,1,2.6,2.1,0,91.3,47.8,52.2,63,599,594,11.9,17.4
631,2021,beverly,300000,279,95,3.2,0,0.4,1.4,0,300000,0,2.3,2.9,11.7,3.3,0.1,79.6,47.9,52.1,185,548,522,11.9,31.7
632,2021,billerica,310000,228,95.6,3.1,0,0,1.3,0,310000,0.1,6.7,3.4,5.3,2.5,0.1,81.9,49,51,258,538,535,13.6,25.6
633,2021,blackstone valley regional vocational technical,8050000,295,100,0,0,0,0,0,8050000,0,0.8,0.6,2.9,1.6,0,94.1,51.8,48.2,183,584,570,11.6,17.4
634,2021,blackstone-millville,6220000,85,94.1,4.7,0,0,1.2,0,6220000,0.1,1.3,1.3,5.4,2.7,0,89.2,49,51,42,527,524,12.9,35
635,2021,blue hills regional vocational technical,8060000,190,98.4,1.1,0,0.5,0,0,8060000,0.8,0.7,22.7,11.9,4.5,0.1,59.3,44.5,55.5,19,544,535,11.2,36.5
636,2021,boston,350000,2980,83.1,11.3,0,0.2,5.3,0,350000,0.3,8.8,31.8,41.8,2.9,0.2,14.2,48.1,51.9,"2,299",536,549,10.4,69.8
640,2021,bourne,360000,100,96,2,0,0,2,0,360000,0.9,1.8,1.7,3.6,3.5,0.2,88.5,49.5,50.5,91,527,506,10.7,38.5
641,2021,braintree,400000,391,98.2,0.8,0,0.3,0.8,0,400000,0.3,15.7,4.8,4.3,1.3,0.1,73.6,49.8,50.2,526,557,570,12.6,27.6
642,2021,bridgewater-raynham,6250000,323,96.9,2.8,0,0,0.3,0,6250000,0.1,1.8,4.2,2.5,3.5,0.1,87.7,48.2,51.8,153,563,568,15.9,26.4
643,2021,bristol county agricultural,9100000,98,95.9,1,0,0,3.1,0,9100000,0.2,0.2,0.2,2.6,1.3,0,95.5,71.4,28.2,23,552,505,12.8,32.1
644,2021,bristol-plymouth regional vocational technical,8100000,289,95.8,0.3,0,0,3.8,0,8100000,0.5,0.7,2.9,6.4,3.1,0,86.4,42.1,57.7,57,544,536,12.8,30.2
645,2021,brockton,440000,871,81.2,10.2,1.7,0.3,6.5,0,440000,0.4,2.2,57,15.3,4.6,0.2,20.4,48.1,51.9,46,523,496,15.5,74
647,2021,brookline,460000,470,94.9,4.5,0,0,0.6,0,460000,0,19.3,5.9,10.2,9.1,0.1,55.3,49.3,50.7,533,639,652,12.1,14.6
648,2021,burlington,480000,218,95.9,4.1,0,0,0,0,480000,0.3,16.4,5.6,5.5,3.6,0,68.5,48.7,51.3,293,540,534,10.7,20
649,2021,cambridge,490000,415,91.8,5.5,0.2,0,2.4,0,490000,0.4,12.3,25.5,13.7,7.7,0.2,40.2,49.2,50.8,302,615,601,9.1,35.5
650,2021,canton,500000,237,97.9,1.3,0,0,0.8,0,500000,0,10.4,10.7,4.6,4.7,0.2,69.4,50.3,49.7,352,568,567,12.6,20.9
651,2021,cape cod regional vocational technical,8150000,113,93.8,1.8,0,0,4.4,0,8150000,2.1,1,5.1,10.4,5,0.2,76.2,37.6,62.4,3,nil,nil,10.3,43
652,2021,carver,520000,102,98,0,1,0,1,0,520000,0.1,0.2,1.3,1,1.3,0.1,95.9,49.4,50.6,96,531,521,11.8,29.5
653,2021,central berkshire,6350000,130,96.9,0.8,0,0,2.3,0,6350000,0.1,1.1,0.8,3.3,3.1,0,91.7,48,52,56,523,533,13,39.8
654,2021,chelmsford,560000,355,96.9,2.5,0.6,0,0,0,560000,0.1,13.6,2.6,4.9,2.6,0.1,76.1,48.4,51.6,326,574,579,13.4,18.4
655,2021,chelsea,570000,256,75,17.2,0,0,7.8,0,570000,0.1,1.4,5.7,85.4,1,0,6.3,47.4,52.6,22,523,520,12.5,78.1
656,2021,chicopee,610000,502,89.4,2.6,0,0.4,7.6,0,610000,0.1,1.8,3.7,35,2.8,0.1,56.4,47.5,52.5,110,559,546,11.1,66.4
658,2021,clinton,640000,105,94.3,2.9,1,0,1.9,0,640000,0.1,1.5,3.9,23.7,1.4,0,69.4,45.9,54.1,72,525,498,12.2,52.7
660,2021,cohasset,650000,125,98.4,1.6,0,0,0,0,650000,0.2,2.3,2.9,1,1.1,0,92.5,48,52,116,616,585,10.6,6.3
662,2021,concord-carlisle,6400000,290,98.6,1.4,0,0,0,0,6400000,0,9.5,4.3,4,3.7,0,78.5,52.1,47.8,375,639,647,11.7,8.5
663,2021,danvers,710000,219,96.3,2.3,0,0.9,0.5,0,710000,0.2,2.5,2,6.7,2.5,0.1,85.9,49.2,50.8,145,549,530,12,25.9
664,2021,dartmouth,720000,242,93.4,2.9,0.8,0,2.9,0,720000,0,0.7,1.3,3,5.5,0.1,89.5,47.9,52.1,113,572,559,12.1,30.4
665,2021,dedham,730000,168,94,3.6,0,0,2.4,0,730000,0.2,2.7,7.9,14,4.1,0,71.1,48.6,51.4,92,578,586,11,29.8
666,2021,dennis-yarmouth,6450000,138,93.5,2.9,0,0,3.6,0,6450000,2.2,2.3,8.8,10.3,6.1,0.1,70.2,48,52,56,558,531,11.3,54.9
667,2021,dighton-rehoboth,6500000,199,96.5,1.5,0,0,2,0,6500000,0.1,1.2,0.8,4.4,2.8,0,90.7,47.8,52.2,219,549,537,12.2,20.4
668,2021,douglas,770000,80,91.3,3.8,0,1.3,3.8,0,770000,0,1.4,0.4,3,2.1,0.2,92.9,49.1,50.9,46,560,535,11.9,25.6
669,2021,dover-sherborn,6550000,167,97,1.8,1.2,0,0,0,6550000,0.2,7.2,2.6,2.6,3.6,0,83.7,50.5,49.5,206,631,642,10.7,7.1
670,2021,dracut,790000,205,95.6,2.4,0.5,0,1.5,0,790000,0.1,5.4,5.6,7.7,1.7,0.1,79.5,49.4,50.6,157,519,512,14.5,35.6
671,2021,dudley-charlton reg,6580000,267,91,2.6,1.1,0,5.2,0,6580000,0.1,1.4,1.5,7.8,2.2,0.1,86.8,49.2,50.8,218,568,569,13.1,33.5
672,2021,duxbury,820000,237,97.5,2.5,0,0,0,0,820000,0.1,1.3,0.3,2,2.7,0,93.7,48.8,51.2,344,592,572,11.9,8.7
673,2021,east bridgewater,830000,137,98.5,1.5,0,0,0,0,830000,0.3,0.5,2.7,1.9,2.9,0.1,91.5,48.9,51,75,556,521,12,27.9
674,2021,east longmeadow,870000,165,97.6,2.4,0,0,0,0,870000,0.1,5.4,2.5,5.9,1.7,0.1,84.4,49.1,50.9,115,569,572,12.5,26.6
675,2021,easthampton,860000,105,88.6,3.8,0,2.9,4.8,0,860000,0.3,3.8,1.7,11.4,2.2,0.1,80.6,49,51,33,534,504,11.9,40.3
676,2021,easton,880000,255,98.4,0.8,0,0,0.8,0,880000,0.2,3.3,4.9,4.1,2.9,0.1,84.6,50.1,49.9,340,577,567,12.8,20.8
678,2021,essex north shore agricultural and technical school district,8170000,319,97.8,0.3,0,0.9,0.9,0,8170000,0.1,1.5,1.3,12.3,3.1,0.1,81.6,57,43,203,544,519,11.5,23.8
679,2021,everett,930000,343,91.5,2.9,0,0,5.5,0,930000,0.4,4.9,17.4,48,1.8,0.1,27.4,48.7,51.3,52,510,495,12.7,71.5
681,2021,fairhaven,940000,178,93.3,1.1,0,0,5.6,0,940000,0.3,2,1.2,5.5,3.4,0,87.6,49.6,50.4,53,575,591,12.8,37.6
682,2021,fall river,950000,489,80,4.7,0.8,0.4,14.1,0,950000,0.2,4.2,7.5,24.9,7.4,0.1,55.6,48.2,51.8,154,518,510,12.3,78.5
683,2021,falmouth,960000,187,88.2,1.1,0,1.6,9.1,0,960000,1.2,2.5,4.9,4.9,5.8,0.1,80.7,48.6,51.4,110,583,570,10.1,39.5
684,2021,fitchburg,970000,272,88.6,9.9,0,0,1.5,0,970000,0.1,4.9,5.9,49.3,7,0.1,32.7,48.6,51.4,105,520,502,11.4,72.6
686,2021,foxborough,990000,168,97,1.8,0,0,1.2,0,990000,0.4,3.5,4.3,3.7,1.9,0.1,86,47.2,52.8,198,554,568,11.6,21.8
688,2021,framingham,1000000,495,89.7,5.9,0,0,4.4,0,1000000,0.1,5.1,6.6,26.8,3.5,0.1,57.9,49,51,197,592,612,11.5,53.8
690,2021,franklin,1010000,422,96.2,2.4,0,0,1.4,0,1010000,0.1,5.1,1.6,2.6,1.7,0.5,88.4,48.5,51.5,531,580,571,12.1,15.8
691,2021,franklin county regional vocational technical,8180000,95,92.6,3.2,0,0,4.2,0,8180000,0,0.2,1,2.5,0.4,0,95.9,32.2,67.8,11,503,514,10.8,41.4
692,2021,freetown-lakeville,6650000,188,96.8,2.1,0.5,0,0.5,0,6650000,0.3,0.9,1.3,1.3,1.5,0.1,94.6,50.1,49.9,90,575,569,12.5,23.4
693,2021,frontier,6700000,94,93.6,2.1,0,1.1,3.2,0,6700000,0,3.1,1.3,4.4,2.5,0.3,88.4,46,54,13,616,596,11.7,26.3
694,2021,gardner,1030000,128,91.4,1.6,0,2.3,4.7,0,1030000,0.3,1.6,2.6,15.4,7.8,0,72.3,48.1,51.9,65,518,510,16.7,64.8
695,2021,gateway,6720000,54,92.6,3.7,0,0,3.7,0,6720000,0.4,0.4,0.8,3.9,2,0.1,92.4,48.2,51.8,13,583,559,9.4,46.8
696,2021,georgetown,1050000,83,98.8,0,0,0,1.2,0,1050000,0,1.1,0.8,1.7,1.3,0.1,94.9,48.9,51.1,114,577,569,17.9,14.3
697,2021,gill-montague,6740000,47,78.7,10.6,0,6.4,4.3,0,6740000,0.2,0.3,1.4,10.5,6.9,0.2,80.4,49.8,50.2,nil,nil,nil,9.6,57.1
699,2021,gloucester,1070000,156,80.1,7.1,3.8,0.6,8.3,0,1070000,0.3,1.4,1.7,8.1,2.7,0.3,85.5,49.1,50.9,95,542,532,10.7,44.2
700,2021,grafton,1100000,176,93.8,2.3,2.3,0,1.7,0,1100000,0.1,11.5,1.3,4.6,3,0.1,79.4,49.1,50.9,163,581,588,12.8,15.8
701,2021,granby,1110000,52,96.2,0,0,1.9,1.9,0,1110000,0.4,2.5,0.5,6.9,2.2,0,87.4,46,54,34,554,558,11.9,35.4
702,2021,greater fall river regional vocational technical,8210000,337,97.9,0.9,0.3,0,0.9,0,8210000,0.4,1.4,1.6,8.4,4.7,0.1,83.4,44.2,55.8,57,525,506,10.1,46.6
703,2021,greater lawrence regional vocational technical,8230000,367,97.5,1.4,0,0,1.1,0,8230000,0.1,1,0.8,80.6,0.1,0,17.4,50.8,49.2,8,nil,nil,10.8,65.1
704,2021,greater lowell regional vocational technical,8280000,528,96.4,1.9,0.6,0.4,0.8,0,8280000,0.5,16.4,3.4,31.8,3.6,0,44.3,44.8,55.2,37,504,492,10.9,48.7
705,2021,greater new bedford regional vocational technical,8250000,491,94.7,1.4,0,0,3.7,0.2,8250000,0.4,0.7,8.7,19.9,3.6,0,66.7,50.4,49.6,12,543,533,10.9,51.8
706,2021,greenfield,1140000,73,86.3,5.5,0,0,8.2,0,1140000,0,1.9,2.2,15.2,5,0,75.8,48.7,51.3,2,nil,nil,10.9,63.9
707,2021,greenfield commonwealth virtual district,39010000,33,51.5,15.2,0,9.1,24.2,0,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,7,nil,nil,NA,NA
708,2021,groton-dunstable,6730000,183,97.8,2.2,0,0,0,0,6730000,0.2,6.2,0.7,1.7,1.7,0.1,89.4,48.7,51.3,264,600,621,12.5,9.3
709,2021,hadley,1170000,36,91.7,2.8,0,0,5.6,0,1170000,0.4,1.6,2.8,7.5,3.4,2.8,81.5,49.1,50.9,14,595,575,9.1,26
710,2021,hamilton-wenham,6750000,130,97.7,0.8,0,0,1.5,0,6750000,0.2,3.8,0.8,2.6,2,0.3,90.3,51.5,48.5,124,592,587,11.2,8
712,2021,hampden-wilbraham,6800000,234,97.9,0.9,0,0.9,0.4,0,6800000,0.2,2.7,2.7,5.8,2.9,0.1,85.6,50.1,49.9,290,557,566,14,22.1
713,2021,hampshire,6830000,94,97.9,0,0,0,2.1,0,6830000,0.1,0.5,0.7,2.8,2.3,0,93.5,55.1,44.9,53,604,576,9.9,19.4
714,2021,hanover,1220000,203,98.5,1.5,0,0,0,0,1220000,0,1.8,0.6,1.6,0.4,0,95.5,48.2,51.8,208,561,558,13.2,11.1
715,2021,harvard,1250000,94,100,0,0,0,0,0,1250000,0,11.2,2.1,3.5,1.9,0,81.3,48.8,51.2,80,632,628,11.5,9.7
716,2021,hatfield,1270000,18,94.4,0,0,0,5.6,0,1270000,0,1.4,0.9,4.8,2,0,91,47.5,52.5,6,nil,nil,8.2,20.5
717,2021,haverhill,1280000,436,82.3,9.2,0,0.5,8,0,1280000,0.2,1.8,3.4,33.7,1.3,0.1,59.5,47.2,52.8,110,547,545,11.8,61.1
718,2021,hingham,1310000,300,97,1.7,0,0.3,1,0,1310000,0,2.4,1.2,2.6,2.8,0,91,48.5,51.5,365,619,615,12.1,7.8
719,2021,holbrook,1330000,53,92.5,0,1.9,0,5.7,0,1330000,0,4.1,18.5,11.9,7.9,0,57.6,49,51,4,nil,nil,12.9,43.8
720,2021,holliston,1360000,193,94.8,4.1,0,0,1,0,1360000,0.3,6.7,0.7,4,2.9,0,85.4,48.7,51.3,204,601,601,12.9,10.2
721,2021,holyoke,1370000,341,80.4,8.8,0,0.6,10.3,0,1370000,0,1,2.7,79.5,1.2,0.1,15.6,46.8,53.2,30,542,493,11.7,85.1
722,2021,hoosac valley regional,6030000,35,88.6,0,0,0,11.4,0,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,30,525,531,10.6,59.6
723,2021,hopedale,1380000,70,95.7,2.9,1.4,0,0,0,1380000,0.5,1.7,1,3.8,2.4,0.3,90.4,47.8,52.2,81,583,565,11.2,21.8
724,2021,hopkinton,1390000,296,99.3,0.3,0.3,0,0,0,1390000,0.3,11.3,0.6,1.9,2.4,0,83.5,50.3,49.7,344,625,640,14.3,7
725,2021,hudson,1410000,141,91.5,2.1,0,0,6.4,0,1410000,0.1,2.1,1.4,8.2,2.8,0,85.3,51.1,48.9,150,558,538,10,35.6
726,2021,hull,1420000,65,90.8,4.6,0,3.1,1.5,0,1420000,0,0.8,1.8,1.6,1.6,0.1,94.1,44.7,55.3,47,575,550,9.6,33.4
728,2021,ipswich,1440000,125,95.2,4,0,0.8,0,0,1440000,0.1,1.6,1.3,4.7,3.8,0,88.5,50.1,49.9,145,575,572,9.9,18.9
729,2021,king philip,6900000,282,96.5,2.8,0,0,0.7,0,6900000,0,1.8,1.5,2,1.8,0,92.9,47.1,52.8,461,576,556,13.1,16.4
731,2021,lawrence,1490000,619,80.9,12.1,0.6,0.6,5.7,0,1490000,0,1.4,1.4,92.2,0.5,0,4.5,47.7,52.3,13,537,541,11.3,85.1
732,2021,lee,1500000,57,98.2,1.8,0,0,0,0,1500000,0,2.2,0.3,9.8,3.1,0,84.7,51.1,48.9,63,546,542,8.9,41.2
733,2021,leicester,1510000,94,91.5,4.3,0,0,4.3,0,1510000,0.3,2.7,5,7.6,2.1,0.1,82.1,46.6,53.4,48,550,535,12.2,39.9
734,2021,lenox,1520000,56,96.4,3.6,0,0,0,0,1520000,0.1,5.2,0.7,6.4,2.2,0,85.4,50.7,49.3,26,600,582,9.6,24.3
735,2021,leominster,1530000,401,96.8,2.2,0.5,0,0.5,0,1530000,0.2,3.3,7.7,31.9,3.5,0,53.5,47.7,52.3,103,548,549,13.7,54.5
736,2021,lexington,1550000,493,97.2,2.2,0,0,0.6,0,1550000,0.1,37.2,4.1,3.3,5.7,0,49.7,49.3,50.7,640,667,689,10.5,8.5
737,2021,lincoln-sudbury,6950000,377,97.6,1.6,0,0,0.8,0,6950000,0.1,6.1,4.3,4.2,4.7,0.1,80.6,50.3,49.7,449,629,645,11.4,9.2
738,2021,littleton,1580000,105,97.1,1.9,0,0,1,0,1580000,0.2,7,1.1,2,2.4,0.3,87,50.5,49.5,87,615,620,13.6,9.6
739,2021,longmeadow,1590000,211,99.1,0.5,0,0,0.5,0,1590000,0.1,9.8,2.2,4.6,3.5,0.1,79.7,48.4,51.6,138,615,619,11.3,11.9
740,2021,lowell,1600000,657,82.8,9.1,0.3,0.2,7.6,0,1600000,0.1,29,7.5,31.4,3.6,0,28.3,48.1,51.9,151,523,533,12.3,72.3
741,2021,ludlow,1610000,200,94,0.5,0,1,4.5,0,1610000,0.4,0.4,1.9,8.5,2.3,0,86.4,49.9,50.1,170,551,541,11.6,38.7
742,2021,lunenburg,1620000,108,96.3,2.8,0.9,0,0,0,1620000,0.5,2.2,1.7,6.1,2,0.5,86.9,48,52,53,573,581,13.9,24.7
743,2021,lynn,1630000,902,89.1,4.7,0.2,0.1,5.9,0,1630000,0.3,8.9,9.6,60.3,3.6,0,17.2,47.3,52.7,115,533,521,12.2,73.5
744,2021,lynnfield,1640000,159,98.7,1.3,0,0,0,0,1640000,0,4.8,1.8,4.4,2,0,87,48.9,51.1,168,562,565,13.7,10.1
745,2021,malden,1650000,338,88.8,5,0.3,0.3,5.6,0,1650000,0.3,23.1,20,22.4,3.9,0.1,30.2,49,51,80,554,584,13.6,60.7
746,2021,manchester essex regional,6980000,117,95.7,3.4,0,0,0.9,0,6980000,0,0.9,0.1,0.9,0.9,0,97.1,51,49,60,617,626,9.6,13.4
747,2021,mansfield,1670000,312,97.1,1,0,0,1.9,0,1670000,0.2,5.3,2.9,4.3,3.1,0.1,84.2,48.4,51.6,280,587,587,11.4,19.6
748,2021,marblehead,1680000,244,95.5,3.3,0,0.8,0.4,0,1680000,0.1,1.6,3,6.4,2.5,0,86.4,49.7,50.3,289,608,599,10.6,13
749,2021,marlborough,1700000,204,92.2,2.9,0,1,3.9,0,1700000,0.1,4.2,3.4,43.5,2.8,0,46,48.3,51.7,149,526,515,11.5,58.3
750,2021,marshfield,1710000,299,96.3,2.7,0,0,1,0,1710000,0.2,1,0.5,2.6,1.5,0.1,94,48.6,51.4,273,574,569,11.3,18.8
751,2021,martha's vineyard,7000000,151,96,2.6,0,0.7,0.7,0,7000000,1.8,1.2,3.3,10.3,4.5,0.2,78.7,47.8,52.2,136,572,564,8.5,36.6
752,2021,masconomet,7050000,272,96,2.6,0,0.4,1.1,0,7050000,0.2,3.3,0.4,2.2,1.6,0.1,92.2,51.1,48.9,282,592,601,11.7,10.5
753,2021,mashpee,1720000,105,99,1,0,0,0,0,1720000,6.5,2.1,3.7,3.9,5.6,0.1,78.1,48.6,51.4,40,575,564,10.6,40.8
755,2021,maynard,1740000,77,89.6,5.2,0,1.3,3.9,0,1740000,0.1,2.3,3,12,4.1,0,78.5,48.9,51.1,31,640,621,10.4,25.5
756,2021,medfield,1750000,195,96.9,1.5,0,0,1.5,0,1750000,0.3,4.2,1,3.5,2.8,0.1,88,48.7,51.3,299,588,599,12,8
757,2021,medford,1760000,272,94.5,2.2,0,0,3.3,0,1760000,0.3,9.1,13.8,9.6,4.4,0,62.8,48.5,51.5,179,552,555,10.3,38.2
758,2021,medway,1770000,148,97.3,2,0,0,0.7,0,1770000,0.3,2.8,1.5,3.2,2.1,0,90.2,50.3,49.7,239,580,584,13.5,16.1
759,2021,melrose,1780000,224,98.2,0.9,0,0,0.9,0,1780000,0,4.6,6,4.3,4.5,0,80.6,50.4,49.6,150,597,563,13.7,15.7
760,2021,mendon-upton,7100000,149,94,2.7,0,0.7,2.7,0,7100000,0,2.5,0.6,4.1,2.5,0,90.3,50.2,49.8,249,573,551,12.9,14.6
761,2021,methuen,1810000,424,92.9,2.8,0.7,0,3.5,0,1810000,0.1,3.9,0.4,37.4,5.1,0.1,53.1,47.9,52.1,144,551,544,12.1,54.3
762,2021,middleborough,1820000,167,95.8,3.6,0,0,0.6,0,1820000,0.7,0.9,2.1,3.3,3.8,0,89.1,49,51,216,545,526,14,40.7
763,2021,milford,1850000,252,86.1,5.6,0,0.4,7.9,0,1850000,1.6,2.3,2.7,25.2,3.1,0.1,65,47.7,52.3,70,581,556,11.2,54.1
764,2021,millbury,1860000,107,91.6,2.8,0.9,0,4.7,0,1860000,0.1,2.5,2.1,7.4,4.6,0.1,83.3,49,51,54,529,517,12.6,33.6
765,2021,millis,1870000,79,96.2,1.3,0,1.3,1.3,0,1870000,0.5,1.8,1.6,5.1,3.2,0.2,87.8,48.2,51.8,72,563,573,11.6,17.5
766,2021,milton,1890000,248,96.8,2.8,0,0.4,0,0,1890000,0.1,6.3,15.5,4.6,4.1,0.2,69.2,48.9,51.1,289,597,594,12.7,13.3
767,2021,minuteman regional vocational technical,8300000,123,94.3,0.8,0,0.8,4.1,0,8300000,0.3,3.3,6.2,10.1,3.3,0,76.8,33.3,66.5,41,572,541,8.3,19.8
768,2021,mohawk trail,7170000,52,86.5,3.8,0,0,9.6,0,7170000,0.4,0.6,0.5,3.2,3,0.1,92.1,50.3,49.7,33,581,557,11.5,46.3
769,2021,monomoy regional school district,7120000,101,96,2,0,1,1,0,7120000,0.6,1.1,5.2,6.1,4.6,0.3,82.1,50.3,49.7,77,598,570,10.2,38.7
770,2021,monson,1910000,51,92.2,5.9,0,0,2,0,1910000,0.2,0.8,0.9,1.9,1.8,0.6,93.7,49,51,2,nil,nil,9.2,39.9
771,2021,montachusett regional vocational technical,8320000,317,97.5,2.5,0,0,0,0,8320000,0.1,1,0.9,13.9,4.1,0,80.1,45.2,54.6,57,562,546,12,30.7
772,2021,mount greylock,7150000,81,96.3,3.7,0,0,0,0,7150000,0.2,1.1,1.4,2.5,4.8,0,90,50.7,49.3,54,618,578,11,25.4
774,2021,nantucket,1970000,102,96.1,2,2,0,0,0,1970000,0.1,1.6,11.1,28,3.4,0.1,55.7,48.6,51.4,125,524,507,10.5,34.6
775,2021,narragansett,7200000,54,87,3.7,0,0,9.3,0,7200000,0.1,0.4,0.8,5.2,3.2,0.1,90.1,47.2,52.8,17,588,606,14.8,36.5
776,2021,nashoba,7250000,223,97.3,2.2,0,0,0.4,0,7250000,0.1,3.1,1.1,4.2,2.6,0.1,88.7,49.7,50.3,333,595,593,12.3,12.7
777,2021,nashoba valley regional vocational technical,8520000,156,95.5,2.6,0,0,1.9,0,8520000,0.8,0.8,0.7,6.3,2.7,0,88.7,41,58.9,15,561,536,11.5,31.4
778,2021,natick,1980000,387,96.4,2.8,0,0,0.8,0,1980000,0.1,9.2,2.7,4.8,4.9,0.1,78.3,49.2,50.8,377,607,603,11.6,14.1
