...1,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math,Student / Teacher Ratio,Low Income %.y
47,2023,burlington,480000,212,95.3,3.8,0,0,0.9,0,480000,0.3,17,6.1,6.2,4.1,0,66.4,49.4,50.6,167,585,575,10.7,20
48,2023,cambridge,490000,421,92.6,6.4,0,0.2,0.7,0,490000,0.3,12.8,23.8,13.7,8.7,0.2,40.5,49.5,50.5,374,607,587,9.1,35.5
49,2023,canton,500000,197,95.9,3.6,0,0,0,0.5,500000,0,10.8,10.5,5.1,5.6,0.2,67.8,50.1,49.8,267,557,555,12.6,20.9
50,2023,cape cod regional vocational technical,8150000,131,97.7,0.8,0,0,1.5,0,8150000,1.9,0.7,7.9,12.1,4.4,0.5,72.5,34.7,65.3,45,508,474,10.3,43
51,2023,carver,520000,84,94,1.2,1.2,0,3.6,0,520000,0.2,0.5,1.3,1.5,1.3,0.1,95.1,49.3,50.7,84,548,529,11.8,29.5
52,2023,central berkshire,6350000,103,94.2,2.9,0,0,2.9,0,6350000,0.2,0.8,0.6,3.9,3.3,0,91.1,48.6,51.4,80,535,535,13,39.8
53,2023,chelmsford,560000,300,95.3,2.7,0,0,2,0,560000,0.2,15.1,3.1,5.7,3,0.1,72.8,47.9,52.1,275,588,587,13.4,18.4
54,2023,chelsea,570000,344,68.6,17.4,2.6,0,11.3,0,570000,0.1,1,5,86.6,0.8,0,6.5,48.2,51.8,64,487,475,12.5,78.1
55,2023,chicopee,610000,433,91.2,1.6,1.2,0.5,5.5,0,610000,0.1,2.1,4.2,38.2,3.1,0,52.3,46.4,53.5,126,538,523,11.1,66.4
57,2023,clinton,640000,100,92,1,0,1,6,0,640000,0,1.5,3.4,25,2,0.1,68,48,52,65,535,492,12.2,52.7
59,2023,cohasset,650000,110,97.3,0.9,0,0,1.8,0,650000,0.1,2.4,3,1.3,1.3,0,91.8,49.1,50.9,118,616,586,10.6,6.3
62,2023,concord-carlisle,6400000,325,98.2,1.5,0,0,0.3,0,6400000,0.1,8.7,4.2,4.6,4.8,0,77.6,52.5,47.3,319,644,647,11.7,8.5
63,2023,danvers,710000,191,94.2,1.6,0.5,0,3.7,0,710000,0.2,2.6,2.3,7.8,2.6,0.1,84.4,49,51,112,572,546,12,25.9
64,2023,dartmouth,720000,214,93.5,1.9,0,0,4.7,0,720000,0,0.6,1.4,4.1,6.2,0,87.7,47.3,52.6,169,564,544,12.1,30.4
65,2023,dedham,730000,148,91.2,4.7,0,0,4.1,0,730000,0.2,2.6,7.3,16,4.3,0,69.6,48.1,51.9,132,555,572,11,29.8
66,2023,dennis-yarmouth,6450000,132,91.7,3.8,0,0,4.5,0,6450000,2.1,2.2,9.4,12.5,6.5,0.2,67.1,49.2,50.8,86,530,519,11.3,54.9
67,2023,dighton-rehoboth,6500000,151,93.4,2,0,0,4.6,0,6500000,0.1,1.3,1.1,4.5,3.4,0,89.6,48.1,51.9,112,557,532,12.2,20.4
68,2023,douglas,770000,69,95.7,4.3,0,0,0,0,770000,0,1.1,0.5,3.8,3,0.2,91.4,48.2,51.8,61,554,522,11.9,25.6
69,2023,dover-sherborn,6550000,150,98.7,1.3,0,0,0,0,6550000,0.2,8.7,2.9,4,4.1,0,80.1,47.7,52.2,161,644,647,10.7,7.1
70,2023,dracut,790000,181,89,4.4,1.1,0,5.5,0,790000,0.2,6.6,6.6,9.5,1.8,0,75.3,48.1,51.9,117,523,523,14.5,35.6
71,2023,dudley-charlton reg,6580000,199,90.5,2,0.5,0.5,6.5,0,6580000,0.2,1.2,1.6,8.4,2.9,0.1,85.7,49.1,50.9,136,574,556,13.1,33.5
72,2023,duxbury,820000,224,98.2,1.8,0,0,0,0,820000,0.1,1.3,0.3,2.3,3.3,0,92.7,49.4,50.6,243,597,577,11.9,8.7
73,2023,east bridgewater,830000,152,97.4,1.3,0,0,1.3,0,830000,0.4,0.8,2.8,2.1,2.7,0,91.2,49.2,50.8,67,550,516,12,27.9
74,2023,east longmeadow,870000,211,95.7,2.8,0,0.5,0.9,0,870000,0.2,5.3,3.5,8.6,2.8,0.1,79.5,48.4,51.6,111,576,563,12.5,26.6
75,2023,easthampton,860000,88,92,1.1,0,0,6.8,0,860000,0.3,3.6,1.1,13.1,3,0.1,78.8,49.2,50.7,32,576,532,11.9,40.3
76,2023,easton,880000,258,97.3,2.3,0,0,0.4,0,880000,0.4,3.2,6.2,5.5,3.1,0.1,81.6,49.8,50.2,221,580,566,12.8,20.8
78,2023,essex north shore agricultural and technical school district,8170000,382,97.6,0.5,0,0.5,1.3,0,8170000,0.4,1.6,1.1,12,3,0,81.8,57.8,42,244,533,510,11.5,23.8
79,2023,everett,930000,390,84.4,4.1,1.5,0,10,0,930000,0.4,5.1,16.4,54.4,1.7,0.1,22,48.9,51.1,270,493,477,12.7,71.5
81,2023,fairhaven,940000,154,93.5,1.9,0,0,4.5,0,940000,0.6,1.8,2.2,5.5,3.5,0,86.3,50.2,49.8,117,546,542,12.8,37.6
82,2023,fall river,950000,507,74.6,4.3,3.2,0.2,17.8,0,950000,0.2,3.9,8.4,27.5,8.7,0.1,51.3,48.7,51.3,243,492,477,12.3,78.5
83,2023,falmouth,960000,191,91.1,1.6,0,1.6,5.8,0,960000,1.2,2.2,4.8,6.2,6,0.1,79.5,49.7,50.2,145,577,558,10.1,39.5
84,2023,fitchburg,970000,302,91.1,5.6,0.3,0,3,0,970000,0,4.8,6.5,51.8,7.3,0.1,29.6,48.2,51.8,270,459,444,11.4,72.6
86,2023,foxborough,990000,166,98.2,1.2,0,0,0.6,0,990000,0.4,4.3,4.8,5.4,2.7,0.1,82.1,48.1,51.8,176,564,564,11.6,21.8
